"","mean.score"
"id_55",-2
"id_57",-2
"id_60",-2
"id_77",1
"id_89",-2.5
"id_118",-1.875
"id_143",-2
"id_167",-2
"id_175",-2
"id_187",2
"id_199",-1
"id_225",1
"id_256",-1.5
"id_257",2
"id_289",3
"id_299",-2
"id_313",0.5
"id_330",-2.6
"id_331",3
"id_334",-2
"id_348",-0.666666666666667
"id_357",-2
"id_362",3
"id_378",-0.666666666666667
"id_384",-0.333333333333333
"id_385",1
"id_390",3
"id_393",-1.5
"id_394",-2
"id_413",1
"id_424",-1
"id_443",0
"id_445",-0.75
"id_457",-1
"id_459",0
"id_473",-0.333333333333333
"id_482",3
"id_516",-3
"id_528",-0.75
"id_554",-3
"id_558",3.5
"id_563",0
"id_564",-2
"id_571",-1
"id_599",-1.5
"id_607",-1
"id_621",-2.5
"id_629",-2
"id_645",-3
"id_652",-1
"id_658",2
"id_659",-2.66666666666667
"id_662",-3
"id_682",-3
"id_686",2
"id_689",-1.5
"id_705",-0.666666666666667
"id_708",2
"id_720",-2.5
"id_732",-1.75
"id_739",0.5
"id_746",-2
"id_758",2
"id_788",-3
"id_798",0.5
"id_808",-2
"id_811",0.666666666666667
"id_818",-1.66666666666667
"id_819",0
"id_829",-0.666666666666667
"id_851",-2.5
"id_859",-1
"id_872",-1
"id_886",-1.66666666666667
"id_902",-2
"id_908",2
"id_940",-1
"id_963",-3.5
"id_993",-1
"id_1016",-3
"id_1070",-2.25
"id_1073",-3
"id_1074",-1
"id_1102",-2
"id_1104",-0.5
"id_1111",-2
"id_1114",-2
"id_1120",2
"id_1128",0.5
"id_1138",-1.33333333333333
"id_1145",2
"id_1151",-1
"id_1175",-3.33333333333333
"id_1180",3
"id_1218",-4
"id_1270",2
"id_1292",-3
"id_1305",-2
"id_1307",-2
"id_1329",-2
"id_1367",-0.666666666666667
"id_1384",-3
"id_1394",-2.66666666666667
"id_1406",2
"id_1408",-2.25
"id_1432",-2
"id_1470",-2
"id_1482",3
"id_1507",-1
"id_1518",-0.2
"id_1528",-3
"id_1556",0.6
"id_1571",-0.5
"id_1585",-1
"id_1590",-1.5
"id_1604",-2
"id_1607",0
"id_1615",3
"id_1632",0
"id_1646",-0.333333333333333
"id_1655",2
"id_1656",0.5
"id_1665",-2
"id_1682",-3.5
"id_1700",-2
"id_1703",-3
"id_1708",0.666666666666667
"id_1709",-1
"id_1719",-2.5
"id_1739",3
"id_1744",-0.666666666666667
"id_1759",-1
"id_1770",0
"id_1783",-2
"id_1792",-1.5
"id_1794",-2
"id_1832",0.2
"id_1843",0.2
"id_1854",0.833333333333333
"id_1862",-3
"id_1865",0
"id_1893",-1.6
"id_1922",-2
"id_1939",-1.75
"id_1943",-2.33333333333333
"id_1955",3
"id_1962",1
"id_1963",0
"id_1975",-3
"id_1983",-1
"id_2000",1.66666666666667
"id_2009",0.4
"id_2078",-2
"id_2095",1
"id_2103",-1
"id_2112",-2
"id_2122",3
"id_2133",1
"id_2135",-2
"id_2136",0
"id_2149",-2
"id_2163",-1.33333333333333
"id_2174",0
"id_2177",-2
"id_2178",-3
"id_2182",-1.5
"id_2186",-1
"id_2192",-2
"id_2200",-1.33333333333333
"id_2217",2
"id_2251",1
"id_2254",-2.5
"id_2266",-0.285714285714286
"id_2269",-2
"id_2348",-2
"id_2360",3
"id_2370",2
"id_2372",-0.666666666666667
"id_2376",-2
"id_2391",0.625
"id_2422",-2.33333333333333
"id_2423",-2
"id_2456",-2.5
"id_2457",0.5
"id_2464",3
"id_2478",-0.666666666666667
"id_2495",-3
"id_2499",-3
"id_2518",-2.5
"id_2520",-2
"id_2524",-2
"id_2528",-1
"id_2533",2.75
"id_2558",-2.33333333333333
"id_2574",-1
"id_2580",0.666666666666667
"id_2617",-1
"id_2640",2
"id_2668",-2
"id_2697",-0.5
"id_2705",-1.66666666666667
"id_2721",2.5
"id_2731",-3
"id_2734",-3
"id_2743",-2
"id_2755",-2
"id_2780",-1.5
"id_2782",0.5
"id_2800",3
"id_2801",-1.875
"id_2814",-3
"id_2848",-0.666666666666667
"id_2862",2
"id_2866",3
"id_2874",2
"id_2897",-2
"id_2913",-0.5
"id_2960",-1
"id_2992",0.5
"id_3048",-1.66666666666667
"id_3058",-1
"id_3090",3
"id_3113",-0.333333333333333
"id_3124",0.125
"id_3138",0
"id_3148",-0.75
"id_3153",-0.2
"id_3155",0.5
"id_3174",-2
"id_3192",-2.5
"id_3198",0
"id_3225",-1
"id_3256",-0.666666666666667
"id_3269",-2
"id_3282",3
"id_3295",-1.2
"id_3309",-1.33333333333333
"id_3321",-0.8
"id_3326",-2
"id_3331",-3
"id_3347",-0.5
"id_3350",-2
"id_3355",2
"id_3368",2
"id_3371",-3
"id_3385",0.5
"id_3387",1.5
"id_3414",1
"id_3427",-3
"id_3434",-1
"id_3446",0.333333333333333
"id_3463",-0.2
"id_3466",-3
"id_3481",-2.5
"id_3489",0.666666666666667
"id_3496",0
"id_3526",-2.25
"id_3546",-3
"id_3557",-2
"id_3610",-2
"id_3624",-2
"id_3626",-0.8
"id_3638",-1.75
"id_3680",1
"id_3684",-1
"id_3703",-2.5
"id_3713",-2
"id_3714",-2
"id_3715",2
"id_3730",-3
"id_3740",-2
"id_3743",3
"id_3758",1
"id_3782",-2
"id_3798",-3
"id_3809",2
"id_3824",-3
"id_3825",-1.5
"id_3860",0.75
"id_3862",2.66666666666667
"id_3864",-0.375
"id_3903",2
"id_3905",-2
"id_3917",-2
"id_3920",-2
"id_3936",-1.25
"id_3938",-2
"id_3943",-3
"id_3944",-2.5
"id_4001",-0.571428571428571
"id_4012",-2
"id_4043",-0.5
"id_4056",-3
"id_4064",1
"id_4100",2
"id_4109",2
"id_4127",0
"id_4141",2
"id_4159",-2
"id_4166",-2
"id_4171",-3
"id_4179",0.5
"id_4216",2
"id_4227",-2
"id_4247",3
"id_4255",-0.666666666666667
"id_4266",-1.66666666666667
"id_4269",-2
"id_4271",-2
"id_4281",-2
"id_4288",-2.5
"id_4306",-2
"id_4310",-3
"id_4315",-3
"id_4331",-2
"id_4345",-1.8
"id_4354",-2
"id_4356",0.5
"id_4364",-2.33333333333333
"id_4369",-2.33333333333333
"id_4374",-2.2
"id_4384",-2
"id_4386",-3
"id_4389",-3
"id_4392",0
"id_4402",-1
"id_4432",-1
"id_4472",-1
"id_4479",-2.33333333333333
"id_4483",-2.5
"id_4488",-0.5
"id_4492",0.5
