"","movie_id","mean.score"
"1",55,-2
"2",57,-2
"3",60,-2
"4",77,1
"5",89,-2.5
"6",118,-1.875
"7",143,-2
"8",167,-2
"9",175,-2
"10",187,2
"11",199,-1
"12",225,1
"13",256,-1.5
"14",257,2
"15",289,3
"16",299,-2
"17",313,0.5
"18",330,-2.6
"19",331,3
"20",334,-2
"21",348,-0.666666666666667
"22",357,-2
"23",362,3
"24",378,-0.666666666666667
"25",384,-0.333333333333333
"26",385,1
"27",390,3
"28",393,-1.5
"29",394,-2
"30",413,1
"31",424,-1
"32",443,0
"33",445,-0.75
"34",457,-1
"35",459,0
"36",473,-0.333333333333333
"37",482,3
"38",516,-3
"39",528,-0.75
"40",554,-3
"41",558,3.5
"42",563,0
"43",564,-2
"44",571,-1
"45",599,-1.5
"46",607,-1
"47",621,-2.5
"48",629,-2
"49",645,-3
"50",652,-1
"51",658,2
"52",659,-2.66666666666667
"53",662,-3
"54",682,-3
"55",686,2
"56",689,-1.5
"57",705,-0.666666666666667
"58",708,2
"59",720,-2.5
"60",732,-1.75
"61",739,0.5
"62",746,-2
"63",758,2
"64",788,-3
"65",798,0.5
"66",808,-2
"67",811,0.666666666666667
"68",818,-1.66666666666667
"69",819,0
"70",829,-0.666666666666667
"71",851,-2.5
"72",859,-1
"73",872,-1
"74",886,-1.66666666666667
"75",902,-2
"76",908,2
"77",940,-1
"78",963,-3.5
"79",993,-1
"80",1016,-3
"81",1070,-2.25
"82",1073,-3
"83",1074,-1
"84",1102,-2
"85",1104,-0.5
"86",1111,-2
"87",1114,-2
"88",1120,2
"89",1128,0.5
"90",1138,-1.33333333333333
"91",1145,2
"92",1151,-1
"93",1175,-3.33333333333333
"94",1180,3
"95",1218,-4
"96",1270,2
"97",1292,-3
"98",1305,-2
"99",1307,-2
"100",1329,-2
"101",1367,-0.666666666666667
"102",1384,-3
"103",1394,-2.66666666666667
"104",1406,2
"105",1408,-2.25
"106",1432,-2
"107",1470,-2
"108",1482,3
"109",1507,-1
"110",1518,-0.2
"111",1528,-3
"112",1556,0.6
"113",1571,-0.5
"114",1585,-1
"115",1590,-1.5
"116",1604,-2
"117",1607,0
"118",1615,3
"119",1632,0
"120",1646,-0.333333333333333
"121",1655,2
"122",1656,0.5
"123",1665,-2
"124",1682,-3.5
"125",1700,-2
"126",1703,-3
"127",1708,0.666666666666667
"128",1709,-1
"129",1719,-2.5
"130",1739,3
"131",1744,-0.666666666666667
"132",1759,-1
"133",1770,0
"134",1783,-2
"135",1792,-1.5
"136",1794,-2
"137",1832,0.2
"138",1843,0.2
"139",1854,0.833333333333333
"140",1862,-3
"141",1865,0
"142",1893,-1.6
"143",1922,-2
"144",1939,-1.75
"145",1943,-2.33333333333333
"146",1955,3
"147",1962,1
"148",1963,0
"149",1975,-3
"150",1983,-1
"151",2000,1.66666666666667
"152",2009,0.4
"153",2078,-2
"154",2095,1
"155",2103,-1
"156",2112,-2
"157",2122,3
"158",2133,1
"159",2135,-2
"160",2136,0
"161",2149,-2
"162",2163,-1.33333333333333
"163",2174,0
"164",2177,-2
"165",2178,-3
"166",2182,-1.5
"167",2186,-1
"168",2192,-2
"169",2200,-1.33333333333333
"170",2217,2
"171",2251,1
"172",2254,-2.5
"173",2266,-0.285714285714286
"174",2269,-2
"175",2348,-2
"176",2360,3
"177",2370,2
"178",2372,-0.666666666666667
"179",2376,-2
"180",2391,0.625
"181",2422,-2.33333333333333
"182",2423,-2
"183",2456,-2.5
"184",2457,0.5
"185",2464,3
"186",2478,-0.666666666666667
"187",2495,-3
"188",2499,-3
"189",2518,-2.5
"190",2520,-2
"191",2524,-2
"192",2528,-1
"193",2533,2.75
"194",2558,-2.33333333333333
"195",2574,-1
"196",2580,0.666666666666667
"197",2617,-1
"198",2640,2
"199",2668,-2
"200",2697,-0.5
"201",2705,-1.66666666666667
"202",2721,2.5
"203",2731,-3
"204",2734,-3
"205",2743,-2
"206",2755,-2
"207",2780,-1.5
"208",2782,0.5
"209",2800,3
"210",2801,-1.875
"211",2814,-3
"212",2848,-0.666666666666667
"213",2862,2
"214",2866,3
"215",2874,2
"216",2897,-2
"217",2913,-0.5
"218",2960,-1
"219",2992,0.5
"220",3048,-1.66666666666667
"221",3058,-1
"222",3090,3
"223",3113,-0.333333333333333
"224",3124,0.125
"225",3138,0
"226",3148,-0.75
"227",3153,-0.2
"228",3155,0.5
"229",3174,-2
"230",3192,-2.5
"231",3198,0
"232",3225,-1
"233",3256,-0.666666666666667
"234",3269,-2
"235",3282,3
"236",3295,-1.2
"237",3309,-1.33333333333333
"238",3321,-0.8
"239",3326,-2
"240",3331,-3
"241",3347,-0.5
"242",3350,-2
"243",3355,2
"244",3368,2
"245",3371,-3
"246",3385,0.5
"247",3387,1.5
"248",3414,1
"249",3427,-3
"250",3434,-1
"251",3446,0.333333333333333
"252",3463,-0.2
"253",3466,-3
"254",3481,-2.5
"255",3489,0.666666666666667
"256",3496,0
"257",3526,-2.25
"258",3546,-3
"259",3557,-2
"260",3610,-2
"261",3624,-2
"262",3626,-0.8
"263",3638,-1.75
"264",3680,1
"265",3684,-1
"266",3703,-2.5
"267",3713,-2
"268",3714,-2
"269",3715,2
"270",3730,-3
"271",3740,-2
"272",3743,3
"273",3758,1
"274",3782,-2
"275",3798,-3
"276",3809,2
"277",3824,-3
"278",3825,-1.5
"279",3860,0.75
"280",3862,2.66666666666667
"281",3864,-0.375
"282",3903,2
"283",3905,-2
"284",3917,-2
"285",3920,-2
"286",3936,-1.25
"287",3938,-2
"288",3943,-3
"289",3944,-2.5
"290",4001,-0.571428571428571
"291",4012,-2
"292",4043,-0.5
"293",4056,-3
"294",4064,1
"295",4100,2
"296",4109,2
"297",4127,0
"298",4141,2
"299",4159,-2
"300",4166,-2
"301",4171,-3
"302",4179,0.5
"303",4216,2
"304",4227,-2
"305",4247,3
"306",4255,-0.666666666666667
"307",4266,-1.66666666666667
"308",4269,-2
"309",4271,-2
"310",4281,-2
"311",4288,-2.5
"312",4306,-2
"313",4310,-3
"314",4315,-3
"315",4331,-2
"316",4345,-1.8
"317",4354,-2
"318",4356,0.5
"319",4364,-2.33333333333333
"320",4369,-2.33333333333333
"321",4374,-2.2
"322",4384,-2
"323",4386,-3
"324",4389,-3
"325",4392,0
"326",4402,-1
"327",4432,-1
"328",4472,-1
"329",4479,-2.33333333333333
"330",4483,-2.5
"331",4488,-0.5
"332",4492,0.5
